Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
mae_3	GO:0061448	connective tissue development	8/40	316/28891	1.06366912634222e-08	1.76994542623345e-05	9.32669876045333e-06	Thrb/Rarb/Ppargc1a/Notch1/Rorc/Trps1/Creb5/Nfatc2	8	mae
mae_3	GO:0032922	circadian regulation of gene expression	5/40	74/28891	5.89574528229583e-08	4.90526007487013e-05	2.58481885271181e-05	Ppargc1a/Rora/Ahr/Relb/Rorc	5	mae
mae_3	GO:0030522	intracellular receptor signaling pathway	7/40	328/28891	3.0822927426107e-07	0.000128223378092605	6.75671014367031e-05	Tlr4/Pgr/Thrb/Rarb/Esr1/Rora/Nr3c2	7	mae
mae_3	GO:0048511	rhythmic process	7/40	317/28891	2.44902654076854e-07	0.000128223378092605	6.75671014367031e-05	Pgr/Esr1/Ppargc1a/Rora/Ahr/Relb/Rorc	7	mae
mae_3	GO:0002064	epithelial cell development	6/40	242/28891	9.81741269902093e-07	0.000272269578852847	0.000143472013654113	Pgr/Rarb/Esr1/Notch1/Sox18/Epas1	6	mae
mae_3	GO:0030850	prostate gland development	4/40	53/28891	8.78087206616234e-07	0.000272269578852847	0.000143472013654113	Esr1/Notch1/Ahr/Plag1	4	mae
mae_3	GO:0045444	fat cell differentiation	6/40	270/28891	1.85275771370991e-06	0.000440426976516184	0.000232082282033136	Nr4a1/Rora/Runx1t1/Rorc/Foxo1/Creb5	6	mae
mae_3	GO:0001655	urogenital system development	4/40	68/28891	2.40583589429404e-06	0.000500413866013159	0.000263692276308807	Esr1/Notch1/Ahr/Plag1	4	mae
mae_3	GO:0009755	hormone-mediated signaling pathway	5/40	168/28891	3.49554139510619e-06	0.000646286764606299	0.000340559763991047	Pgr/Thrb/Rarb/Esr1/Nr3c2	5	mae
mae_3	GO:0030098	lymphocyte differentiation	7/40	486/28891	4.21048624121982e-06	0.000700624910538979	0.000369193161993275	Satb1/Rora/Ahr/Hdac9/Relb/Rorc/Irf8	7	mae
mae_random_0	GO:0030099	myeloid cell differentiation	21/242	480/28891	8.64661409716159e-10	2.92255556484062e-06	2.12342638828189e-06	Epas1/Fech/Batf2/Il15/Mpl/Tlr4/Stap1/Jun/Slc11a2/Gfi1b/Cul4a/Id2/Myc/Gimap5/Meis1/Prdm16/Nfkbia/G6pdx/Chuk/Rb1/Klf1	21	mae_random
mae_random_0	GO:0000727	double-strand break repair via break-induced replication	5/242	12/28891	2.98699647426727e-08	5.04802404151169e-05	3.66771724971871e-05	Cdc45/Mcm2/Mcm5/Mcm6/Mcm4	5	mae_random
mae_random_0	GO:0048872	homeostasis of number of cells	17/242	401/28891	5.80177474629292e-08	6.53666621415669e-05	4.74931245021101e-05	Epas1/Fech/Glis2/Mpl/Slc40a1/Lpcat3/Spns2/Slc11a2/Ccnb2/Mecom/Gfi1b/Id2/Gimap5/G6pdx/Anxa1/Rb1/Klf1	17	mae_random
mae_random_0	GO:0006270	DNA replication initiation	6/242	33/28891	2.97513917002909e-07	0.000142274739447654	0.000103371836540447	Cdc45/Mcm2/Mcm5/Mcm6/Orc2/Mcm4	6	mae_random
mae_random_0	GO:0044772	mitotic cell cycle phase transition	17/242	454/28891	3.36744945438234e-07	0.000142274739447654	0.000103371836540447	Tacc3/Rcc1/Nfia/Bid/Tcf19/Cdc20/Ccnb2/Cul4a/Usp37/Id2/Myc/Phf10/Anxa1/Ccnb1/Bub3/Rb1/Aurkb	17	mae_random
mae_random_0	GO:0060586	multicellular organismal-level iron ion homeostasis	6/242	32/28891	2.45131842338065e-07	0.000142274739447654	0.000103371836540447	Picalm/Epas1/Fech/Slc40a1/Slc11a2/Tfr2	6	mae_random
mae_random_0	GO:1903706	regulation of hemopoiesis	17/242	452/28891	3.1662516528806e-07	0.000142274739447654	0.000103371836540447	Il15/Mpl/Jun/Cd1d1/Zfp35/Gfi1b/Cul4a/Id2/Myc/Gimap5/Meis1/Prdm16/Nfkbia/Phf10/Anxa1/Xrcc6/Rb1	17	mae_random
mae_random_0	GO:0006979	response to oxidative stress	16/242	389/28891	2.16137499083555e-07	0.000142274739447654	0.000103371836540447	Epas1/Tlr4/Aldh1a1/Jun/Foxo1/Slc11a2/Ppargc1a/G6pdx/Chuk/Anxa1/Apoe/Hdac2/Ercc8/Dhfr/Rbpms/Stk25	16	mae_random
mae_random_0	GO:0006268	DNA unwinding involved in DNA replication	5/242	20/28891	5.53552858198096e-07	0.000187100866070956	0.000135940928229069	Cdc45/Mcm2/Mcm5/Mcm6/Mcm4	5	mae_random
mae_random_0	GO:0042168	heme metabolic process	6/242	36/28891	5.12334801281478e-07	0.000187100866070956	0.000135940928229069	Ppox/Fech/Blvrb/Slc11a2/Hmbs/Hebp1	6	mae_random
mae_random_1	GO:0045786	negative regulation of cell cycle	20/220	400/28891	3.97064432408009e-11	1.17570778436011e-07	9.27458921593022e-08	Casp3/Mad2l1/Xrcc3/Nr4a1/Bub1b/Spc24/Spc25/Pml/Xpc/Cdc6/Ets1/Birc5/Rad51/Mapk12/Fem1b/Esr1/Hnf4a/Apbb1/Fzr1/Nupr1	20	mae_random
mae_random_1	GO:0044772	mitotic cell cycle phase transition	20/220	454/28891	3.69702152866577e-10	5.47344037318967e-07	4.31773198532071e-07	Mad2l1/Xrcc3/Nfatc1/Rrm2/Bub1b/Spc24/Smarca2/Spc25/Pml/Xpc/Cdc6/Birc5/Ccne1/Chmp7/E2f6/Myb/Phb2/Anapc2/Pbx1/Fzr1	20	mae_random
mae_random_1	GO:0006270	DNA replication initiation	7/220	33/28891	4.87162891030226e-09	4.80829773446833e-06	3.79303317612656e-06	Orc6/Cdc6/Ccne1/Mcm3/Prim1/Orc5/Prim2	7	mae_random
mae_random_1	GO:0044784	metaphase/anaphase transition of cell cycle	9/220	98/28891	6.39498851395971e-08	2.44191971872548e-05	1.92631218324245e-05	Mad2l1/Xrcc3/Bub1b/Spc24/Smarca2/Spc25/Cdc6/Birc5/Anapc2	9	mae_random
mae_random_1	GO:0007091	metaphase/anaphase transition of mitotic cell cycle	9/220	95/28891	4.86999334988712e-08	2.44191971872548e-05	1.92631218324245e-05	Mad2l1/Xrcc3/Bub1b/Spc24/Smarca2/Spc25/Cdc6/Birc5/Anapc2	9	mae_random
mae_random_1	GO:1901987	regulation of cell cycle phase transition	17/220	449/28891	7.34872348914217e-08	2.44191971872548e-05	1.92631218324245e-05	Mad2l1/Xrcc3/Rrm2/Bub1b/Spc24/Smarca2/Spc25/Pml/Xpc/Cdc6/Birc5/Rad51/Phb2/Fem1b/Pbx1/Apbb1/Fzr1	17	mae_random
mae_random_1	GO:0033044	regulation of chromosome organization	13/220	244/28891	5.45339522952491e-08	2.44191971872548e-05	1.92631218324245e-05	Mad2l1/Xrcc3/Rnf4/Bub1b/Spc24/Smarca2/Spc25/Pml/Cdc6/Birc5/Ruvbl2/Anapc2/Smc2	13	mae_random
mae_random_1	GO:0051983	regulation of chromosome segregation	10/220	132/28891	7.42224838518383e-08	2.44191971872548e-05	1.92631218324245e-05	Mad2l1/Xrcc3/Bub1b/Spc24/Smarca2/Spc25/Cdc6/Birc5/Anapc2/Smc2	10	mae_random
mae_random_1	GO:0048872	homeostasis of number of cells	16/220	401/28891	8.84562187641322e-08	2.61918863760596e-05	2.06615104671168e-05	Casp3/Ikzf1/Hcls1/Tnfrsf13b/Myct1/Smarca2/Gata2/Bmi1/Gata1/Ets1/Myb/Jak3/Spi1/Slc25a38/Stat3/Mthfd1	16	mae_random
mae_random_1	GO:0007059	chromosome segregation	16/220	416/28891	1.45601262764365e-07	2.98591578146133e-05	2.35544432679667e-05	Mad2l1/Xrcc3/Rnf4/Bub1b/Spc24/Smarca2/Spc25/Haus2/Cdc6/Birc5/Ccne1/Tlk1/Chmp7/Tpx2/Anapc2/Smc2	16	mae_random
mae_random_1	GO:0098781	ncRNA transcription	10/220	142/28891	1.47881274619848e-07	2.98591578146133e-05	2.35544432679667e-05	Ell2/Zfp143/Gata2/Ets1/Myb/Polr1b/Spi1/Esr1/Pwp1/Stat3	10	mae_random
mae_random_1	GO:0010948	negative regulation of cell cycle process	14/220	314/28891	1.51262197642418e-07	2.98591578146133e-05	2.35544432679667e-05	Mad2l1/Xrcc3/Bub1b/Spc24/Spc25/Pml/Xpc/Cdc6/Birc5/Rad51/Fem1b/Esr1/Apbb1/Fzr1	14	mae_random
mae_random_1	GO:0000819	sister chromatid segregation	12/220	218/28891	1.2572767772592e-07	2.98591578146133e-05	2.35544432679667e-05	Mad2l1/Xrcc3/Bub1b/Spc24/Smarca2/Spc25/Cdc6/Birc5/Chmp7/Tpx2/Anapc2/Smc2	12	mae_random
